Pclass,Sex,SibSp,Parch,Fare,Embarked,Fam_size,Fam_type,Title,Name_len,Name_cat,Age_guess,N_Cabins,Cabin_letter,Survived
3,0,1,0,7.25,0.0,1,2,1,23,0,22.0,0.0,1,0
1,1,1,0,71.2833,2.0,1,2,5,51,2,38.0,1.0,4,1
3,1,0,0,7.925,0.0,0,1,4,22,0,26.0,0.0,1,1
1,1,1,0,53.1,0.0,1,2,5,44,2,35.0,1.0,4,1
3,0,0,0,8.05,0.0,0,1,1,24,0,35.0,0.0,1,0
3,0,0,0,8.4583,1.0,0,1,1,16,0,26.269104730091904,0.0,1,0
1,0,0,0,51.8625,0.0,0,1,1,23,0,54.0,1.0,7,0
3,0,3,1,21.075,0.0,4,0,3,30,1,2.0,0.0,1,0
3,1,0,2,11.1333,0.0,2,2,5,49,2,27.0,0.0,1,1
2,1,1,0,30.0708,2.0,1,2,5,35,2,14.0,0.0,1,1
3,1,1,1,16.7,0.0,2,2,4,31,1,4.0,1.0,3,1
1,1,0,0,26.55,0.0,0,1,4,24,0,58.0,1.0,4,1
3,0,0,0,8.05,0.0,0,1,1,30,1,20.0,0.0,1,0
3,0,1,5,31.275,0.0,6,0,1,27,0,39.0,0.0,1,0
3,1,0,0,7.8542,0.0,0,1,4,36,2,14.0,0.0,1,0
2,1,0,0,16.0,0.0,0,1,5,32,1,55.0,0.0,1,1
3,0,4,1,29.125,1.0,5,0,3,20,0,2.0,0.0,1,0
2,0,0,0,13.0,0.0,0,1,1,28,1,30.23937176506277,0.0,1,1
3,1,1,0,18.0,0.0,1,2,5,55,2,31.0,0.0,1,0
3,1,0,0,7.225,2.0,0,1,5,23,0,42.24902719330462,0.0,1,1
2,0,0,0,26.0,0.0,0,1,1,20,0,35.0,0.0,1,0
2,0,0,0,13.0,0.0,0,1,1,21,0,34.0,1.0,8,1
3,1,0,0,8.0292,1.0,0,1,4,27,0,15.0,0.0,1,1
1,0,0,0,35.5,0.0,0,1,1,28,1,28.0,1.0,2,1
3,1,3,1,21.075,0.0,4,0,4,29,1,8.0,0.0,1,0
3,1,1,5,31.3875,0.0,6,0,5,57,2,38.0,0.0,1,1
3,0,0,0,7.225,2.0,0,1,1,23,0,27.329314503787025,0.0,1,0
1,0,3,2,263.0,0.0,5,0,1,30,1,19.0,3.0,4,0
3,1,0,0,7.8792,1.0,0,1,4,29,1,21.257886512311426,0.0,1,1
3,0,0,0,7.8958,0.0,0,1,1,19,0,29.141757098574107,0.0,1,0
1,0,0,0,27.7208,2.0,0,1,2,24,0,40.0,0.0,1,0
1,1,1,0,146.5208,2.0,1,2,5,46,2,54.135853585776694,1.0,6,1
3,1,0,0,7.75,1.0,0,1,4,24,0,27.69894447000022,0.0,1,1
2,0,0,0,10.5,0.0,0,1,1,21,0,66.0,0.0,1,0
1,0,1,0,82.1708,2.0,1,2,1,23,0,28.0,0.0,1,0
